Month,Total Outstanding (bln),<=1 Year,%,1-5 Years,%,5-10 Years,%,10-20 Years,%,20+ Years,%,Avg Length (months)
2007-10-31,4450.6,1571.5,35.0,1570.0,35.0,752.8,17.0,346.7,8.0,209.7,5.0,56.0
2007-11-30,4529.2,1670.2,37.0,1539.9,34.0,754.8,17.0,368.9,8.0,195.4,4.0,55.0
2007-12-31,4522.5,1653.2,37.0,1541.6,34.0,763.2,17.0,369.0,8.0,195.5,4.0,55.0
2008-01-31,4518.8,1644.1,36.0,1525.8,34.0,774.7,17.0,378.4,8.0,195.8,4.0,56.0
2008-02-29,4647.3,1756.5,38.0,1529.1,33.0,774.3,17.0,378.4,8.0,209.1,4.0,55.0
2008-03-31,4718.3,1801.4,38.0,1543.6,33.0,785.2,17.0,378.8,8.0,209.3,4.0,55.0
2008-04-30,4628.5,1680.7,36.0,1567.5,34.0,791.8,17.0,401.0,9.0,187.5,4.0,56.0
2008-05-31,4671.4,1774.4,38.0,1499.8,32.0,805.1,17.0,395.1,8.0,197.0,4.0,56.0
2008-06-30,4682.3,1700.3,36.0,1571.9,34.0,817.2,17.0,395.7,8.0,197.2,4.0,56.0
2008-07-31,4808.0,1786.3,37.0,1617.5,34.0,803.3,17.0,403.5,8.0,197.4,4.0,55.0
2008-08-31,4888.5,1919.1,39.0,1558.1,32.0,795.1,16.0,416.4,9.0,199.7,4.0,55.0
2008-09-30,5221.9,2151.8,41.0,1643.8,31.0,809.5,16.0,417.0,8.0,199.9,4.0,52.0
2008-10-31,5715.3,2571.8,45.0,1671.3,29.0,855.9,15.0,416.5,7.0,199.8,3.0,49.0
2008-11-30,5808.5,2674.1,46.0,1658.0,29.0,855.7,15.0,420.1,7.0,200.5,3.0,49.0
2008-12-31,5783.6,2513.2,43.0,1780.8,31.0,870.2,15.0,419.1,7.0,200.2,3.0,49.0
2009-01-31,5735.2,2464.3,43.0,1777.8,31.0,868.6,15.0,424.9,7.0,199.6,3.0,50.0
2009-02-28,5998.0,2674.8,45.0,1824.4,30.0,874.1,15.0,422.1,7.0,202.7,3.0,49.0
2009-03-31,6252.0,2708.1,43.0,1966.0,31.0,941.4,15.0,422.5,7.0,214.0,3.0,49.0
2009-04-30,6349.3,2709.5,43.0,2009.2,32.0,993.4,16.0,448.2,7.0,189.0,3.0,50.0
2009-05-31,6440.3,2785.9,43.0,2008.1,31.0,992.4,15.0,448.6,7.0,205.5,3.0,50.0
2009-06-30,6600.1,2714.8,41.0,2153.3,33.0,1066.6,16.0,448.9,7.0,216.6,3.0,51.0
2009-07-31,6770.8,2739.4,40.0,2246.5,33.0,1101.6,16.0,455.4,7.0,227.8,3.0,51.0
2009-08-31,6927.2,2765.1,40.0,2326.8,34.0,1152.5,17.0,448.8,6.0,234.0,3.0,52.0
2009-09-30,6997.7,2702.2,39.0,2399.0,34.0,1201.8,17.0,448.6,6.0,246.0,4.0,53.0
2009-10-31,6935.7,2601.8,38.0,2397.3,35.0,1229.4,18.0,449.0,6.0,258.1,4.0,54.0
2009-11-30,7162.6,2551.4,36.0,2589.1,36.0,1296.9,18.0,449.1,6.0,276.1,4.0,55.0
2009-12-31,7260.5,2506.7,35.0,2664.3,37.0,1351.1,19.0,449.2,6.0,289.2,4.0,55.0
2010-01-31,7214.6,2441.5,34.0,2659.1,37.0,1361.9,19.0,449.3,6.0,302.7,4.0,56.0
2010-02-28,7394.3,2487.2,34.0,2752.3,37.0,1386.8,19.0,439.6,6.0,328.5,4.0,57.0
2010-03-31,7745.0,2577.8,33.0,2911.1,38.0,1474.4,19.0,440.1,6.0,341.7,4.0,56.0
2010-04-30,7889.3,2583.0,33.0,2972.2,38.0,1538.3,19.0,440.1,6.0,355.6,5.0,57.0
2010-05-31,7946.7,2611.9,33.0,2990.3,38.0,1538.2,19.0,450.2,6.0,356.0,4.0,57.0
2010-06-30,8092.1,2518.0,31.0,3132.3,39.0,1622.2,20.0,450.5,6.0,369.1,5.0,58.0
2010-07-31,8168.6,2572.9,31.0,3126.7,38.0,1636.3,20.0,450.6,6.0,382.1,5.0,58.0
2010-08-31,8394.1,2588.8,31.0,3263.8,39.0,1701.8,20.0,433.4,5.0,406.3,5.0,58.0
2010-09-30,8488.0,2562.9,30.0,3309.2,39.0,1763.1,21.0,433.4,5.0,419.5,5.0,59.0
2010-10-31,8532.5,2591.2,30.0,3290.6,39.0,1784.5,21.0,433.6,5.0,432.6,5.0,59.0
2010-11-30,8738.0,2600.0,30.0,3404.8,39.0,1850.4,21.0,433.7,5.0,449.1,5.0,59.0
2010-12-31,8852.9,2633.6,30.0,3420.7,39.0,1902.4,21.0,433.9,5.0,462.3,5.0,59.0
2011-01-31,8954.4,2652.7,30.0,3444.1,38.0,1948.1,22.0,434.0,5.0,475.6,5.0,59.0
2011-02-28,9037.9,2667.7,30.0,3481.4,39.0,1963.1,22.0,440.6,5.0,485.0,5.0,60.0
2011-03-31,9122.4,2664.9,29.0,3516.3,39.0,2001.7,22.0,441.3,5.0,498.2,5.0,60.0
2011-04-30,9126.5,2698.3,30.0,3476.2,38.0,1997.9,22.0,442.0,5.0,512.0,6.0,61.0
2011-05-31,9251.9,2621.6,28.0,3629.4,39.0,2039.2,22.0,433.4,5.0,528.3,6.0,61.0
2011-06-30,9326.1,2608.6,28.0,3670.4,39.0,2063.7,22.0,434.4,5.0,548.9,6.0,62.0
2011-07-31,9369.4,2689.3,29.0,3635.1,39.0,2047.7,22.0,435.2,5.0,562.1,6.0,62.0
2011-08-31,9513.3,2659.3,28.0,3759.7,40.0,2090.1,22.0,425.5,4.0,578.5,6.0,62.0
2011-09-30,9616.0,2673.2,28.0,3802.5,40.0,2123.0,22.0,425.7,4.0,591.6,6.0,63.0
2011-10-31,9737.9,2707.6,28.0,3849.1,40.0,2143.0,22.0,426.1,4.0,612.2,6.0,63.0
2011-11-30,9869.8,2761.3,28.0,3916.7,40.0,2166.6,22.0,395.7,4.0,629.5,6.0,63.0
2011-12-31,9928.3,2833.0,29.0,3902.0,39.0,2155.0,22.0,395.4,4.0,642.9,6.0,62.0
2012-01-31,10060.4,2769.6,28.0,4038.6,40.0,2200.2,22.0,395.3,4.0,656.8,7.0,63.0
2012-02-29,10213.8,2853.1,28.0,4081.1,40.0,2201.0,22.0,394.9,4.0,683.7,7.0,63.0
2012-03-31,10330.0,2980.3,29.0,4051.9,39.0,2204.3,21.0,395.6,4.0,697.9,7.0,63.0
2012-04-30,10391.6,2858.3,28.0,4166.6,40.0,2256.9,22.0,402.7,4.0,707.0,7.0,63.0
2012-05-31,10477.7,2868.4,27.0,4227.4,40.0,2253.6,22.0,403.9,4.0,724.4,7.0,64.0
2012-06-30,10513.6,2918.6,28.0,4199.0,40.0,2246.0,21.0,404.4,4.0,745.6,7.0,64.0
2012-07-31,10600.2,2845.4,27.0,4297.4,41.0,2294.5,22.0,404.2,4.0,758.6,7.0,64.0
2012-08-31,10749.8,2940.4,27.0,4352.4,40.0,2288.6,21.0,393.9,4.0,774.5,7.0,64.0
2012-09-30,10742.5,2951.0,27.0,4318.2,40.0,2292.3,21.0,393.6,4.0,787.4,7.0,64.0
2012-10-31,10880.3,2907.3,27.0,4427.6,41.0,2343.0,22.0,394.5,4.0,807.8,7.0,65.0
2012-11-30,11025.6,2993.0,27.0,4460.8,40.0,2359.9,21.0,387.8,4.0,824.1,7.0,65.0
2012-12-31,11046.0,2933.0,27.0,4508.8,41.0,2379.4,22.0,387.8,4.0,837.1,8.0,65.0
2013-01-31,11108.1,2944.6,27.0,4531.3,41.0,2395.5,22.0,387.0,3.0,849.8,8.0,65.0
2013-02-28,11301.2,3089.7,27.0,4572.2,40.0,2393.8,21.0,370.8,3.0,874.6,8.0,65.0
2013-03-31,11391.1,3201.9,28.0,4531.9,40.0,2398.2,21.0,371.2,3.0,887.8,8.0,64.0
2013-04-30,11409.6,3054.4,27.0,4632.6,41.0,2448.6,21.0,372.6,3.0,901.4,8.0,65.0
2013-05-31,11390.1,2979.0,26.0,4677.2,41.0,2443.3,21.0,373.0,3.0,917.6,8.0,66.0
2013-06-30,11389.2,3011.2,26.0,4633.4,41.0,2434.1,21.0,372.9,3.0,937.6,8.0,66.0
2013-07-31,11477.7,2949.8,26.0,4721.5,41.0,2482.6,22.0,373.2,3.0,950.7,8.0,66.0
2013-08-31,11580.6,3095.3,27.0,4704.2,41.0,2463.3,21.0,350.9,3.0,967.0,8.0,66.0
2013-09-30,11590.4,2939.4,25.0,4794.5,41.0,2525.5,22.0,351.0,3.0,980.0,8.0,67.0
2013-10-31,11679.9,2969.8,25.0,4812.9,41.0,2545.8,22.0,351.2,3.0,1000.2,9.0,67.0
2013-11-30,11776.6,3120.6,26.0,4799.9,41.0,2488.4,21.0,351.4,3.0,1016.3,9.0,66.0
2013-12-31,11854.4,3039.8,26.0,4897.9,41.0,2536.7,21.0,351.0,3.0,1029.1,9.0,67.0
2014-01-31,11810.2,2942.7,25.0,4919.6,42.0,2555.4,22.0,350.6,3.0,1041.9,9.0,67.0
2014-02-28,11996.4,3099.3,26.0,4972.3,41.0,2507.3,21.0,350.6,3.0,1066.9,9.0,67.0
2014-03-31,12120.4,3146.8,26.0,5000.4,41.0,2541.8,21.0,351.2,3.0,1080.3,9.0,67.0
2014-04-30,12001.4,2970.0,25.0,5022.7,42.0,2563.3,21.0,351.8,3.0,1093.6,9.0,68.0
2014-05-31,12033.6,3045.5,25.0,5015.7,42.0,2509.2,21.0,352.9,3.0,1110.2,9.0,68.0
2014-06-30,12070.5,2916.6,24.0,5109.6,42.0,2560.2,21.0,353.5,3.0,1130.7,9.0,68.0
2014-07-31,12149.2,2933.9,24.0,5136.6,42.0,2580.5,21.0,354.1,3.0,1144.1,9.0,68.0
2014-08-31,12231.6,3057.7,25.0,5168.8,42.0,2490.5,20.0,354.4,3.0,1160.3,9.0,68.0
2014-09-30,12280.5,2934.9,24.0,5264.6,43.0,2553.5,21.0,354.3,3.0,1173.2,10.0,68.0
2014-10-31,12348.89,2928.43,24.0,5299.34,43.0,2573.86,21.0,354.06,3.0,1193.21,10.0,69.0
2014-11-30,12329.49,2945.45,24.0,5309.43,43.0,2520.74,20.0,344.56,3.0,1209.3,10.0,69.0
2014-12-31,12504.71,2952.59,24.0,5416.13,43.0,2569.81,21.0,344.15,3.0,1222.03,10.0,68.0
2015-01-31,12469.6,3010.4,24.0,5327.2,43.0,2589.4,21.0,308.2,2.0,1234.4,10.0,68.0
2015-02-28,12556.6,3063.2,24.0,5396.9,43.0,2539.8,20.0,297.9,2.0,1258.8,10.0,69.0
2015-03-31,12630.1,3002.9,24.0,5457.7,43.0,2601.1,21.0,297.2,2.0,1271.2,10.0,69.0
2015-04-30,12631.8,3029.4,24.0,5396.4,43.0,2623.6,21.0,297.8,2.0,1284.7,10.0,69.0
2015-05-31,12674.7,3145.4,25.0,5370.6,42.0,2558.5,20.0,298.6,2.0,1301.7,10.0,69.0
2015-06-30,12698.7,3035.2,24.0,5433.4,43.0,2609.2,21.0,298.9,2.0,1322.0,10.0,70.0
2015-07-31,12801.0,3144.9,25.0,5408.9,42.0,2611.9,20.0,299.6,2.0,1335.7,10.0,69.0
2015-08-31,12834.2,3138.3,24.0,5490.3,43.0,2564.2,20.0,288.8,2.0,1352.5,11.0,70.0
2015-09-30,12841.4,3096.8,24.0,5491.8,43.0,2598.4,20.0,288.9,2.0,1365.5,11.0,70.0
2015-10-31,12348.9,2928.4,24.0,5299.3,43.0,2573.9,21.0,354.1,3.0,1193.2,10.0,68.0
2015-11-30,12407.7,3023.7,24.0,5309.4,43.0,2520.7,20.0,344.6,3.0,1209.3,10.0,68.0
2015-12-31,12504.7,2952.6,24.0,5416.1,43.0,2569.8,21.0,344.2,3.0,1222.0,10.0,68.0
2016-01-31,13173.9,3483.6,26.0,5400.2,41.0,2598.9,20.0,264.2,2.0,1426.9,11.0,69.0
2016-02-29,13297.7,3443.7,26.0,5555.5,42.0,2595.5,20.0,277.4,2.0,1425.6,11.0,69.0
2016-03-31,13431.1,3509.0,26.0,5571.5,41.0,2635.2,20.0,277.6,2.0,1437.8,11.0,69.0
2016-04-30,13340.1,3557.0,27.0,5428.8,41.0,2626.7,20.0,277.7,2.0,1450.0,11.0,69.0
2016-05-31,13378.4,3410.1,25.0,5585.2,42.0,2636.0,20.0,278.1,2.0,1469.0,11.0,70.0
2016-06-30,13417.7,3388.9,25.0,5601.3,42.0,2661.3,20.0,278.7,2.0,1487.5,11.0,70.0
2016-07-31,13481.3,3550.6,26.0,5520.3,41.0,2630.4,20.0,279.1,2.0,1500.9,11.0,70.0
2016-08-31,13586.0,3507.4,26.0,5669.2,42.0,2620.7,19.0,270.7,2.0,1517.9,11.0,70.0
2016-09-30,13647.5,3513.6,26.0,5681.2,42.0,2652.5,19.0,270.5,2.0,1529.7,11.0,70.0
2016-10-31,13757.0,3610.2,26.0,5655.4,41.0,2673.5,19.0,270.6,2.0,1547.2,11.0,69.0
2016-11-30,13908.4,3705.6,27.0,5749.8,41.0,2627.0,19.0,260.0,2.0,1565.9,11.0,69.0
2016-12-31,13908.2,3737.2,27.0,5714.1,41.0,2618.7,19.0,260.2,2.0,1578.1,11.0,69.0
2017-01-31,13850.7,3574.4,26.0,5784.4,42.0,2661.1,19.0,240.3,2.0,1590.5,11.0,70.0
2017-02-28,13885.8,3582.4,26.0,5832.3,42.0,2625.1,19.0,247.4,2.0,1598.7,12.0,70.0
2017-03-31,13953.6,3583.4,26.0,5848.1,42.0,2662.5,19.0,247.9,2.0,1611.6,12.0,70.0
2017-04-30,13937.4,3711.5,27.0,5698.4,41.0,2655.1,19.0,248.2,2.0,1624.2,12.0,70.0
2017-05-31,13969.6,3583.4,26.0,5829.7,42.0,2663.8,19.0,269.7,2.0,1623.0,12.0,71.0
2017-06-30,13997.9,3552.1,25.0,5847.0,42.0,2687.6,19.0,270.0,2.0,1641.1,12.0,71.0
2017-07-31,14048.6,3593.2,26.0,5850.7,42.0,2681.1,19.0,270.1,2.0,1653.6,12.0,71.0
2017-08-31,14082.0,3580.5,25.0,5922.9,42.0,2644.4,19.0,261.0,2.0,1673.2,12.0,71.0
2017-09-30,14188.3,3724.0,26.0,5872.1,41.0,2646.1,19.0,260.9,2.0,1685.1,12.0,70.0
2017-10-31,14262.1,3687.3,26.0,5912.1,41.0,2698.7,19.0,261.2,2.0,1702.8,12.0,70.0
2017-11-30,14426.0,3840.6,27.0,5937.3,41.0,2687.8,19.0,239.6,2.0,1720.6,12.0,70.0
2017-12-31,14468.7,3919.0,27.0,5899.0,41.0,2678.6,19.0,239.6,2.0,1732.5,12.0,70.0
2018-01-31,14503.0,3839.6,26.0,5974.3,41.0,2723.0,19.0,221.2,2.0,1744.9,12.0,70.0
2018-02-28,14666.4,3978.8,27.0,6025.7,41.0,2668.2,18.0,243.7,2.0,1750.0,12.0,70.0
2018-03-31,14933.4,4284.1,29.0,5973.1,40.0,2668.1,18.0,244.1,2.0,1764.0,12.0,69.0
2018-04-30,14838.4,4061.7,27.0,6031.5,41.0,2748.6,19.0,218.6,1.0,1777.9,12.0,70.0
2018-05-31,14927.9,4099.5,27.0,6082.1,41.0,2728.0,18.0,244.2,2.0,1774.0,12.0,70.0
2018-06-30,14972.2,4167.3,28.0,6046.5,40.0,2720.1,18.0,244.4,2.0,1793.8,12.0,70.0
2018-07-31,15074.9,4122.5,27.0,6149.8,41.0,2749.3,18.0,244.7,2.0,1808.7,12.0,70.0
2018-08-31,15291.4,4306.6,28.0,6216.3,41.0,2706.0,18.0,233.0,2.0,1829.5,12.0,69.0
2018-09-30,15267.6,4298.9,28.0,6180.8,40.0,2710.4,18.0,233.0,2.0,1844.5,12.0,69.0
2018-10-31,15347.5,4222.0,28.0,6261.8,41.0,2766.0,18.0,233.0,2.0,1864.7,12.0,69.0
2018-11-30,15549.7,4362.2,28.0,6317.7,41.0,2759.9,18.0,222.1,1.0,1887.8,12.0,69.0
2018-12-31,15607.9,4312.2,28.0,6384.1,41.0,2785.1,18.0,222.2,1.0,1904.2,12.0,69.0
2019-01-31,15609.4,4285.1,27.0,6404.4,41.0,2795.0,18.0,205.4,1.0,1919.5,12.0,69.0
2019-02-28,15759.3,4396.7,28.0,6444.0,41.0,2773.8,18.0,219.9,1.0,1924.9,12.0,70.0
2019-03-31,15928.6,4580.1,29.0,6409.0,40.0,2778.3,17.0,219.9,1.0,1941.3,12.0,69.0
2019-04-30,15870.5,4403.2,28.0,6452.0,41.0,2867.1,18.0,190.1,1.0,1958.2,12.0,70.0
2019-05-31,15930.8,4397.1,28.0,6502.0,41.0,2856.7,18.0,228.9,1.0,1946.1,12.0,70.0
2019-06-30,15922.3,4396.8,28.0,6481.0,41.0,2852.3,18.0,229.0,1.0,1963.2,12.0,70.0
2019-07-31,15959.3,4297.3,27.0,6568.7,41.0,2884.5,18.0,229.0,1.0,1979.8,12.0,70.0
2019-08-31,16137.4,4529.8,28.0,6525.8,40.0,2845.6,18.0,259.2,2.0,1977.0,12.0,70.0
