Date,Open,High,Low,Close,Volume,Currency
2010-01-04,10430.69,10641.62,10430.69,10583.96,0,USD
2010-01-05,10584.56,10647.14,10468.86,10572.02,0,USD
2010-01-06,10564.72,10655.22,10488.28,10573.68,0,USD
2010-01-07,10571.11,10655.6,10471.73,10606.86,0,USD
2010-01-08,10606.4,10653.11,10509.74,10618.19,0,USD
2010-01-11,10620.31,10739.87,10538.91,10663.99,0,USD
2010-01-12,10662.86,10701.48,10523.35,10627.26,0,USD
2010-01-13,10628.09,10747.12,10569.07,10680.77,0,USD
2010-01-14,10680.16,10767.15,10619.02,10710.55,0,USD
2010-01-15,10706.99,10736.54,10529.09,10609.65,0,USD
2010-01-19,10608.37,10763.45,10555.47,10725.43,0,USD
2010-01-20,10719.69,10719.69,10492.36,10603.15,0,USD
2010-01-21,10603.91,10651.14,10334.18,10389.88,0,USD
2010-01-22,10389.58,10450.04,10133.15,10172.98,0,USD
2010-01-25,10175.1,10316.65,10135.95,10196.86,0,USD
2010-01-26,10195.35,10323.0,10102.17,10194.29,0,USD
2010-01-27,10194.29,10294.13,10060.98,10236.16,0,USD
2010-01-28,10236.92,10310.68,10023.8,10120.46,0,USD
2010-01-29,10122.04,10272.29,10014.35,10067.33,0,USD
2010-02-01,10068.99,10227.24,10068.99,10185.53,0,USD
2010-02-02,10186.13,10333.35,10138.75,10296.85,0,USD
2010-02-03,10291.73,10356.86,10192.03,10270.55,0,USD
2010-02-04,10273.12,10273.12,9984.35,10002.18,0,USD
2010-02-05,10003.69,10078.89,9822.84,10012.23,0,USD
2010-02-08,10005.43,10059.24,9882.85,9908.39,0,USD
2010-02-09,9910.28,10154.24,9910.28,10058.64,0,USD
2010-02-10,10055.46,10120.15,9946.26,10038.38,0,USD
2010-02-11,10037.85,10184.85,9963.19,10144.19,0,USD
2010-02-12,10137.23,10140.18,9962.13,10099.14,0,USD
2010-02-16,10100.81,10292.62,10100.81,10268.81,0,USD
2010-02-17,10261.48,10366.83,10223.16,10309.24,0,USD
2010-02-18,10309.39,10416.79,10255.58,10392.9,0,USD
2010-02-19,10387.77,10459.18,10316.5,10402.35,0,USD
2010-02-22,10402.43,10468.55,10333.05,10383.38,0,USD
2010-02-23,10383.16,10430.16,10239.34,10282.41,0,USD
2010-02-24,10284.0,10416.94,10271.61,10374.16,0,USD
2010-02-25,10366.6,10366.6,10155.75,10321.03,0,USD
2010-02-26,10321.41,10391.24,10250.45,10325.26,0,USD
2010-03-01,10326.1,10444.6,10320.05,10403.79,0,USD
2010-03-02,10404.16,10493.8,10359.8,10405.98,0,USD
2010-03-03,10406.28,10496.22,10359.58,10396.76,0,USD
2010-03-04,10396.53,10484.05,10363.88,10444.14,0,USD
2010-03-05,10445.13,10587.13,10445.13,10566.2,0,USD
2010-03-08,10563.78,10632.48,10500.9,10552.52,0,USD
2010-03-09,10552.24,10637.46,10493.49,10564.38,0,USD
2010-03-10,10560.13,10639.05,10502.64,10567.33,0,USD
2010-03-11,10560.98,10626.73,10489.87,10611.84,0,USD
2010-03-12,10611.77,10690.9,10561.66,10624.69,0,USD
2010-03-15,10623.41,10680.32,10540.65,10642.15,0,USD
2010-03-16,10642.53,10717.42,10594.16,10685.98,0,USD
2010-03-17,10686.36,10787.86,10658.1,10733.67,0,USD
2010-03-18,10733.44,10821.49,10686.89,10779.17,0,USD
2010-03-19,10780.0,10869.55,10665.35,10741.98,0,USD
2010-03-22,10741.0,10836.68,10672.23,10785.89,0,USD
2010-03-23,10787.18,10906.06,10752.41,10888.83,0,USD
2010-03-24,10887.62,10925.48,10788.77,10836.15,0,USD
2010-03-25,10837.51,10985.26,10818.77,10841.21,0,USD
2010-03-26,10841.29,10934.85,10801.84,10850.36,0,USD
2010-03-29,10849.23,10954.43,10827.91,10895.86,0,USD
2010-03-30,10895.02,10968.56,10837.21,10907.42,0,USD
2010-03-31,10907.34,10933.19,10802.22,10856.63,0,USD
2010-04-01,10857.31,10983.14,10851.57,10927.07,0,USD
2010-04-05,10927.45,11026.75,10880.36,10973.55,0,USD
2010-04-06,10972.49,11017.76,10893.89,10969.99,0,USD
2010-04-07,10961.95,11000.22,10835.77,10897.52,0,USD
2010-04-08,10896.99,10969.92,10810.15,10927.07,0,USD
2010-04-09,10926.92,11032.12,10894.19,10997.35,0,USD
